" "," ",module,Magento_ImportExport
"Web Site",Website,module,Magento_SalesRule
"Web Site Information","Website informatie",module,Magento_Backend
"Web-Services URL (Production)","Web-Services URL (Production)",module,Magento_Fedex
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)",module,Magento_Fedex
"WebapiAsync config for ""%lookupKey"" does not exist.","WebapiAsync configuratie voor ""%lookupKey"" bestaat niet.",module,Magento_WebapiAsync
"WebapiAsync config for ""%topicName"" does not exist.","WebapiAsync configuratie voor ""%topicName"" bestaat niet.",module,Magento_WebapiAsync
"Webhook URL","Webhook URL",module,Magento_Signifyd
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL moet ingesteld worden in uw Cybersource account als Transactie Response Pagina.",module,Magento_Cybersource
Webservicex,Webservicex,module,Magento_Directory
Website,Website,module,Magento_Theme
"Website 1","Website 1",module,Magento_SharedCatalog
"Website 3","Website 3",module,Magento_SharedCatalog
"Website Closed","Website gesloten",module,Magento_WebsiteRestriction
"Website Payments Pro","Website Payments Pro",module,Magento_Paypal
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution",module,Magento_Paypal
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution en Express Checkout",module,Magento_Paypal
"Website Payments Standard","Website Payments Standard",module,Magento_Paypal
"Website Root","Website wortel",module,Magento_VersionsCms
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Websitecode mag alleen letters (a-z), cijfers (0-9) of underscore (_) bevatten en het eerste teken moet een letter zijn.",module,Magento_Store
"Website with the same code","Website met dezelfde code",module,Magento_Store
Website:,Website:,module,Magento_SharedCatalog
Websites,Websites,module,Magento_SalesRule
"Websites List","Websites lijst",module,Magento_Support
"Websites Tree","Websites Tree",module,Magento_Support
"Weekend Days",Weekenddagen,module,Magento_Backend
Weekly,Wekelijks,module,Magento_Sitefolder
Weight,Gewicht,module,Magento_Shipping
"Weight (and above)","Gewicht (en hoger)",module,Magento_OfflineShipping
"Weight Unit",Gewichtseenheid,module,Magento_Ups
"Weight vs. Destination","Gewicht vs. Bestemming",module,Magento_OfflineShipping
Weight:,Gewicht:,module,Magento_Shipping
"Weighted Random","Weighted Random",module,Magento_TargetRule
"Welcome Email",Welkomstmail,module,Magento_Customer
"Welcome Text",Welcomsttekst,module,Magento_Theme
"Welcome to %store_name","Welkom bij %store_name",theme,frontend/Magento/luma
"Welcome to %store_name.","Welkom bij %store_name.",theme,frontend/Magento/luma
"Welcome, %1!","Welkom, %1!",module,Magento_Persistent
"Welcome, %name","Welkom %name",module,Magento_SendFriend
"Welcome, please sign in","Welkom, graag inloggen",module,Magento_Backend
"What are you looking for?","Waar ben je naar op zoek?",module,Magento_Bundle
"What is PayPal?","Wat is PayPal?",module,Magento_Paypal
"What is this?","Wat is dit?",module,Magento_Payment
"What's this?","Wat is dit?",module,Magento_Persistent
"What’s on your mind?","Waar denk je aan?",module,Magento_Contact
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.",module,Magento_Cookie
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Schakel deze instelling in om de prijs vast te zetten, ongeacht wat het BTW-tarief van de klant is wanneer de catalogusprijs inclusief belasting is.",module,Magento_Tax
"When the adapter was changed, please flush Catalog Images Cache.","Als de adapter is veranderd, leeg dan de catalogus afbeeldingen cache.",module,Magento_Backend
"When you enable this option your site may slow down.","Indien u deze optie inschakeld kan uw website vertragen.",module,Magento_AdvancedSearch
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Wanneer u een kenmerk verwijdert of toevoegt, updaten wij automatisch alle configuraties en u moet de huidige configuraties handmatig herstellen.",module,Magento_ConfigurableProduct
"When you sign in to your account, you can:","Wanneer u inlogt op uw account, kan u volgende zaken:",module,Magento_Company
"When you sign in to your account, you will be able to:","Als je in je account inlogt, ben je in staat om:",theme,frontend/Magento/luma
"Whether to create a billing agreement, if there are no active billing agreements available.","De vraag om een factureringsovereenkomst te cre&euml;ren als er geen actieve factureringsovereenkomsten beschikbaar zijn.",module,Magento_Paypal
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","De ""Alles""-optie wel of niet tonen in de ""Toon X per pagina""-dropdown",module,Magento_Catalog
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown.",module,Magento_Catalog
"Whether to use Documents or NonDocuments service for non domestic shipments. (Shipments within the EU are classed as domestic)","Whether to use Documents or NonDocuments service for non domestic shipments. (Shipments within the EU are classed as domestic)",module,Magento_Dhl
Widget,Widget,module,Magento_Widget
"Widget ""%1""","Widget ""%1""",module,Magento_Widget
"Widget ID","Widget ID",module,Magento_Widget
"Widget Insertion","Widget invoeging",module,Magento_Widget
"Widget Options",Widget-opties,module,Magento_Widget
"Widget Title",Widget-titel,module,Magento_Widget
"Widget Type",Widget-type,module,Magento_Widget
"Widget(s) with ID(s) %1 were not found","Widget(s) with ID(s) %1 were not found",module,Magento_Widget
Widgets,Widgets,module,Magento_Widget
Width,Breedte,module,Magento_Usps
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement.",module,Magento_Paypal
"Will make search for the query above return results for this search","Zoekopdracht maken voor de bovenstaande query terugkoppelen resultaten voor deze zoekopdracht",module,Magento_Search
"Window Flat-Rate Envelope","Geraamde vast-bedrag envelop",module,Magento_Usps
Windows,Windows,module,Magento_Support
"Wish List",Verlanglijst,module,Magento_Wishlist
"Wish List ""%1"" has been deleted.","Verlanglijst ""%1"" werd verwijderd.",module,Magento_MultipleWishlist
"Wish List %1 shared","Verlanglijst %1 gedeeld",module,Magento_Reminder
"Wish List (%1)","Verlanglijst (%1)",module,Magento_AdvancedCheckout
"Wish List Items","Verlanglijst producten",module,Magento_MultipleWishlist
"Wish List Name","Naam van de verlanglijst",module,Magento_MultipleWishlist
"Wish List Purchase","Verlanglijst aankoop",module,Magento_Reports
"Wish List Quantity","Wensenlijst aantal",module,Magento_MultipleWishlist
"Wish List Search","Verlanglijstje zoeken",module,Magento_MultipleWishlist
"Wish List Search Description","Verlanglijst zoekbeschrijving",module,Magento_MultipleWishlist
"Wish List Search Template","Zoeksjabloon verlanglijst",module,Magento_MultipleWishlist
"Wish List Section","Wensenlijst gedeelte",module,Magento_Wishlist
"Wish List Sharing","Verlanglijst delen",module,Magento_Wishlist
"Wish List is empty now.","Verlanglijst is nu leeg.",module,Magento_Wishlist
"Wish List vs. Regular Order","Verlanglijst vs. standaard bestelling",module,Magento_Reports
"Wish Lists",Verlanglijsten,module,Magento_Reports
"Wish list ""%1"" already exists.","Verlanglijst ""%1"" bestaat reeds.",module,Magento_MultipleWishlist
"Wish list ""%1"" was saved.","Verlanglijst ""%1"" is opgeslagen.",module,Magento_MultipleWishlist
Wishlist,Verlanglijst,module,Magento_MultipleWishlist
"With Selected","Met geselecteerde",module,Magento_RequisitionList
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","Met klant belasting toegepast ""Vóór korting"", de definitieve berekening mogelijk niet overeen met de verwachtingen van klanten. ",module,Magento_Tax
"Without starting and trailing slashes.","Zonder starting and trailing slashes.",module,Magento_Solr
"Workflow type","Workflow type",module,Magento_Developer
"WorldLink Withdrawal","WorldLink herroeping",module,Magento_Paypal
Worldpay,WorldPay,module,Magento_Worldpay
"Worldwide Expedited","Worldwide Expedited",module,Magento_Ups
"Worldwide Express","Worldwide Express",module,Magento_Ups
"Worldwide Express Letter","Worldwide Express Letter",module,Magento_Ups
"Worldwide Express Plus","Worldwide Express Plus",module,Magento_Ups
"Worldwide Express Plus Letter","Worldwide Express Plus Letter",module,Magento_Ups
"Worldwide Express Saver","Worldwide Express Saver",module,Magento_Ups
"Would you like to change the Customer Group for this order?","Wil je de klantgroep voor deze bestelling veranderen?",module,Magento_Customer
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Wil je een facturatie overeenkomst tekenen om verdere aankopen met PayPal te stroomlijnen?",module,Magento_Paypal
"Write Us","Schrijf ons",module,Magento_Contact
"Write Your Own Review","Schrijf je eigen review",module,Magento_Review
"Wrong ""ApplyTo"" type","Verkeerd ""ToepassenOp"" type",module,Magento_CustomerSegment
"Wrong Content Type","Verkeerd contenttype",module,Magento_Dhl
"Wrong Region","Verkeerde regio",module,Magento_Dhl
"Wrong attribute group ID","Verkeerde attributengroep ID",module,Magento_Eav
"Wrong attribute set ID","Verkeerde attributenset ID",module,Magento_Eav
"Wrong attribute set code ""%1"", please correct it and try again.","Verkeerde attribuut set code ""%1"", corrigeer en probeer het nogmaals.",module,Magento_CatalogImportExport
"Wrong attribute set id provided","Verkeerd attributenset id verstrekt",module,Magento_Eav
"Wrong color format. Please specify color in HEX, RGBa, HSVa, HSLa or use color name.","Wrong color format. Please specify color in HEX, RGBa, HSVa, HSLa or use color name.",module,Magento_Ui
"Wrong deploy strategy type: %1","Verkeerde deploy-strategie: %1",module,Magento_Deploy
"Wrong email.","Verkeerde e-mail.",module,Magento_Customer
"Wrong entity ID","Verkeerde entiteit ID",module,Magento_Eav
"Wrong file info format","Verkeerde bestandsinfo format",module,Magento_MediaStorage
"Wrong format of the entered option data","Wrong format of the entered option data",module,Magento_Wishlist
"Wrong gateway response format.","Verkeerd gateway respons formaat.",module,Magento_Payment
"Wrong logger interface specified.","Verkeerde logger-interface opgegeven.",module,Magento_Deploy
"Wrong message type","Verkeerd berichttype",module,Magento_AdminNotification
"Wrong minimum amount.","Verkeerd minimum bedrag.",module,Magento_Checkout
"Wrong notification ID specified.","Verkeerde notificatie-ID gespecificeerd.",module,Magento_AdminNotification
"Wrong param id","Verkeerde param-id",module,Magento_Support
"Wrong queue type specified.","Verkeerd queue-soort gespecificeerd.",module,Magento_Deploy
"Wrong request.","Verkeerd verzoek.",module,Magento_Vault
"Wrong response type","Verkeerd antwoord type",module,Magento_Worldpay
"Wrong rule specified.","Verkeerde regel gespecificeerd.",module,Magento_CatalogRule
"Wrong transaction status","Onjuiste transactiestatus",module,Magento_Braintree
"Wrong type specified: '%1'","Verkeerd type gespecificeerd: '%1'",module,Magento_Deploy
"X-Forwarded For","X-Forwarded Voor",module,Magento_Logging
"XML Sitefolder","XML Sitefolder",module,Magento_Sitefolder
"XML Sitemap",XML-Sitemap,module,Magento_Sitemap
"XML Sitemap Section","XML sitemap gedeelte",module,Magento_Sitemap
YTD,"Laatse jaar",module,Magento_Backend
YY,jj,module,Magento_Braintree
Year,Jaar,module,Magento_Reports
"Year Range","Range jaar",module,Magento_Catalog
"Year-To-Date Starts","Jaar tot op heden starten",module,Magento_Reports
Yearly,Jaarlijks,module,Magento_Sitefolder
Yes,Ja,module,Magento_Variable
"Yes (301 Moved Permanently)","Ja (301 Permanent verplaatst)",module,Magento_Config
"Yes (302 Found)","Ja (302 Found)",module,Magento_Config
"Yes (PayPal recommends this option)","Ja (PayPal adviseert deze optie)",module,Magento_Paypal
"Yes (only price with tax)","Ja (alleen prijs met BTW)",module,Magento_Tax
"Yes, for Everyone","Ja, voor iedereen",module,Magento_CatalogPermissions
"Yes, for Specified Customer Groups","Ja, voor opgegeven klantengroepen",module,Magento_CatalogPermissions
"Yes. Matched Address and five-didgit ZIP","Ja. Gematchede adres en vier-cijferige postcode",module,Magento_Paypal
"Yes. Matched Address and five-digit ZIP","Ja. Matcht adres en vijf-cijferige postcode",module,Magento_Paypal
Yes/No,Ja/Nee,module,Magento_Eav
"You added %1 item(s) to your shopping cart.","U heeft %1 product(en) aan uw winkelwagen toegevoegd.",module,Magento_RequisitionList
"You added %1 product to your shopping cart.","U heeft %1 product aan uw winkelwagen toegevoegd.",module,Magento_AdvancedCheckout
"You added %1 products to your shopping cart.","U heeft %1 producten aan uw winkelwagen toegevoegd.",module,Magento_AdvancedCheckout
"You added %1 to your <a href=""%2"">shopping cart</a>.","U heeft %1 toegevoegd aan uw <a href=""%2"">winkelwagen</a>.",module,Magento_Checkout
"You added %1 to your shopping cart.","Je hebt %1 aan je winkelwagen toegevoegd.",module,Magento_Wishlist
"You added product %1 to the <a href=""%2"">comparison list</a>.","U heeft product %1 toegevoegd aan de <a href=""%2"">vergelijkingslijst</a>.",module,Magento_Catalog
"You added product %1 to the comparison list.","Je hebt product %1 toegevoegd aan de vergelijkingslijst.",module,Magento_Catalog
"You already have a permission with this scope.","U heeft al bevoegdheid binnen dit bereik.",module,Magento_CatalogPermissions
"You already have an account with us. Sign in or continue as guest.","U heeft al een account bij ons. Log in of ga door zonder account.",module,Magento_Checkout
"You already have an identical search term query.","Je hebt al een identieke zoekterm opdracht.",module,Magento_Search
"You applied the custom currency symbols.","Je hebt de aangepaste valuta symbolen toegepast.",module,Magento_CurrencySymbol
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Je staat op het punt om alle producten in deze attributenset te verwijderen. Weet je het zeker?",module,Magento_Catalog
"You are not allowed to change CMS pages design settings","U bent niet toegestaan om CMS pagina's ontwerp instellingen te wijzigen",module,Magento_Cms
"You are not allowed to do this.","U bent niet bevoegd om dit te doen.",module,Magento_NegotiableQuote
"You are not an owner of this quote. You cannot edit it or take any actions on it.","U bent geen eigenaar van deze offerte. U kunt het niet bewerken of er iets aan aanpassen.",module,Magento_NegotiableQuote
"You are not using store credit in your shopping cart.","U gebruikt uw winkeltegoed niet in uw winkelwagen.",module,Magento_CustomerBalance
"You are signed out","Je bent uitgelogd",module,Magento_Customer
"You are signed out.","Je bent uitgelogd.",module,Magento_Customer
"You are subscribed to ""General Subscription"".","U heeft zich geabonneerd op de nieuwsbrief.",module,Magento_Customer
"You are subscribed to our newsletter.","Je bent geabonneerd op onze nieuwsbrief.",module,Magento_Customer
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","Je probeert een hoeveelheid toe te voegen voor sommige producten die niet overeenkomen met de hoeveelheid die werd verzonden.",module,Magento_Shipping
"You aren't subscribed to our newsletter.","Je bent niet geabonneerd op onze nieuwsbrief.",module,Magento_Customer
"You assigned the order status.","Je hebt de orderstatus toegekend.",module,Magento_Sales
"You can add only enabled products.","Alleen actieve producten kunnen worden toegevoegd.",module,Magento_AdvancedCheckout
"You can adjust the scope of this synonym group by selecting an option from the list.","Je kunt het bereik van deze synoniem groep aanpassen door een optie in de lijst te selecteren.",module,Magento_Search
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","U kan het ook delen met uw vrienden en familie door in te loggen op uw account en vervolgens te klikken op de verlanglijst tab.",module,Magento_GiftRegistry
"You can buy %1 only in quantities of %2 at a time.","Je kunt %1 slechts in hoeveelheden van %2 per keer kopen.",module,Magento_CatalogInventory
"You can buy this product only in quantities of %1 at a time.","Je kunt dit product alleen in hoeveelheden van %1 per keer kopen.",module,Magento_CatalogInventory
"You can buy up to %1 of these per purchase.","U kunt ten hoogste %1 van dit product per aankoop.",module,Magento_AdvancedCheckout
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Je kunt de status van je order controleren door <a href=""%account_url"">in je account in te loggen</a>.",theme,frontend/Magento/luma
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","U kan de status bekijken van uw retour <a href=""%form_url"">met behulp van uw bestelnummer</a>.",module,Magento_Rma
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","U kan de status van uw retour bekijken door <a href=""%account_url"">in te loggen op uw account</a> of <a href=""%form_url"">door gebruik van uw bestelnummer</a>.",module,Magento_Rma
"You can check your coupons at sales rule page","You can check your coupons at sales rule page",module,Magento_SalesRule
"You can create a rule only to the existing categories.","U kunt een regel alleen voor de bestaande categorieën aanmaken.",module,Magento_VisualMerchandiser
"You can create an account after checkout.","U kunt een account maken na het afrekenen.",module,Magento_Checkout
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","U kan uw eigen verlanglijst aanmaken op <a href=""%account_url"">%store_name</a> en het delen met vrienden en familie.",module,Magento_GiftRegistry
"You can find and edit rule label and descriptions, per store view, in email templates.","U kunt de regellabels en -beschrijvingen per winkelaanzicht vinden en bewerken in de e-mailsjablonen.",module,Magento_Reminder
"You can leave this box blank if you don't want to add a gift message for the item.","Je kunt dit veld leeg laten als je geen cadeaubericht voor het item wilt toevoegen.",module,Magento_GiftMessage
"You can leave this box blank if you don't want to add a gift message for this address.","Je kunt dit veld leeglaten als je geen cadeaubericht voor dit adres wilt toevoegen.",module,Magento_GiftMessage
"You can not cancel Credit Memo","We kunnen de creditmemo niet annuleren",module,Magento_Sales
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount.",module,Magento_Sales
"You can override this default value in CMS using the limit=""x"" variable.","U kan deze standaard waarde overschrijven in CMS door het gebruik van de limit=""x"" variabele.",module,Magento_CatalogEvent
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","U kunt deze standaardwaarde in CMS met behulp van de limiet negeren = ""x"" variabele. Laat leeg voor geen beperking.",module,Magento_CatalogEvent
"You can pick up your file at export main page","You can pick up your file at export main page",module,Magento_ImportExport
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s).",module,Magento_Reward
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s).",module,Magento_Reward
"You can reward up to %1 new reviews(s).","U kunt een beloning krijgen tot %1 nieuwe review(s).",module,Magento_Reward
"You can sign in to your account to view more details about this gift registry.","U kan inloggen op uw account om meer details over deze verlanglijst te bekijken.",module,Magento_GiftRegistry
"You can then add the products to your registry from your shopping cart or wish list page.","U kan vervolgens de producten van uw winkelwagen of verlanglijst toevoegen aan de lijst.",module,Magento_GiftRegistry
"You can track your order status by creating an account.","Door het aanmaken van een account, kunt u de status van uw bestelling bijhouden.",module,Magento_Checkout
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","U kan de producten van deze verlanglijst bekijken en kopen op <a href=""%account_url"">%store_name</a>.",module,Magento_GiftRegistry
"You can't add the item to shopping cart.","Je kan het item niet toevoegen aan je winkelwagen.",module,Magento_ConfigurableProduct
"You can't add this many to your cart.","Het is niet mogelijk deze hoeveelheid aan de winkelwagen toe te voegen.",module,Magento_AdvancedCheckout
"You can't add virtual products, digital products or gift cards to gift registries.","Je kunt geen virtuele producten, digitale producten of kadokaarten toevoegen aan de verlanglijst.",module,Magento_GiftRegistry
"You can't change status of cache type(s) in production mode","U kunt de status van cache type(s) niet wijziging in productie modus",module,Magento_Backend
"You can't create a creditmemo without products.","U kunt geen creditfactuur aanmaken zonder producten.",module,Magento_Sales
"You can't create a shipment without products.","U kunt geen verzending aanmaken zonder producten.",module,Magento_Sales
"You can't create an invoice without products.","Je kunt geen rekening opstellen onder producten.",module,Magento_Sales
"You can't delete group ""%1"".","U kunt groep ""%1"" niet verwijderen.",module,Magento_Customer
"You can't delete group %1"".""","Je kan groep %1"" niet verwijderen.""",module,Magento_Customer
"You can't delete the design change.","Je kunt de designwijziging niet verwijderen.",module,Magento_Backend
"You can't do this without a transaction object.","Je kunt dit niet doen zonder een transactie object.",module,Magento_Sales
"You can't redeem a gift card now.","Het is niet mogelijk uw cadeaubon nu te verzilveren.",module,Magento_GiftCardAccount
"You can't remove attributes from this attribute set.","Je kunt geen attributen verwijderen uit deze attributenset.",module,Magento_Catalog
"You can't remove this gift card.","U kunt deze cadeaubon niet verwijderen.",module,Magento_GiftCardAccount
"You can't send messages more than %1 times an hour.","Je kunt berichten niet meer dan %1 keer per uur versturen.",module,Magento_SendFriend
"You can't unsubscribed right now.","U kunt nu niet uitschrijven.",module,Magento_Reward
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount.",module,Magento_Reward
"You can't use the payment type you selected to make payments to the billing country.","Je kunt geen gebruik maken van de geselecteerde betalingsmethode om betalingen te voldoen aan het land van facturatie.",module,Magento_Payment
"You canceled the billing agreement.","Je hebt de facturatie overeenkomst geannuleerd.",module,Magento_Paypal
"You canceled the coupon code.","Je hebt de couponcode geannuleerd.",module,Magento_Checkout
"You canceled the invoice.","Je hebt de rekening geannuleerd.",module,Magento_Sales
"You canceled the order.","Je hebt de order geannuleerd.",module,Magento_Sales
"You cannot add ""%1"" to the cart.","U kunt ""%1"" niet toevoegen aan de winkelwagen.",module,Magento_CatalogPermissions
"You cannot add a product.","U kan geen product toevoegen.",module,Magento_AdvancedCheckout
"You cannot assign a different role to a company admin.","U kunt een bedrijfsbeheerder geen andere rol toewijzen.",module,Magento_Company
"You cannot assign multiple roles to a user.","U kunt niet meerdere rollen toewijzen aan een gebruiker.",module,Magento_Company
"You cannot attach more than ten files per comment.","U kunt niet meer dan 10 bestanden per opmerkingen toevoegen.",module,Magento_NegotiableQuote
"You cannot cancel the order(s).","Je kunt de order(s) niet annuleren.",module,Magento_Sales
"You cannot change the customer group for a shared catalog.","U kunt de klantengroep niet wijzigen voor een gedeelde catalogus.",module,Magento_SharedCatalog
"You cannot configure a product.","U kan het product niet aanpassen.",module,Magento_AdvancedCheckout
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","U kunt een openbare catalogus niet converteren naar een aangepaste catalogus. Als u deze openbare catalogus moet vervangen, maakt u een aangepaste catalogus en wijzigt u het type in openbaar.",module,Magento_SharedCatalog
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","U kunt een rol niet verwijderen wanneer het de enige rol in het bedrijf is. U moet een andere rol maken voordat u deze rol verwijdert.",module,Magento_Company
"You cannot delete self-assigned roles.","Je kunt zelf-toegewezen rollen niet verwijderen,",module,Magento_User
"You cannot delete this attribute.","U kunt dit attribuut niet verwijderen",module,Magento_Rma
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Je kunt deze tariefgroep niet verwijderen omdat het wordt gebruikt in belastingregels. Je moet eerst de regels waarin het wordt gebruikt verwijderen.",module,Magento_Tax
"You cannot delete this tax class because it is used in existing %1(s).","Je kunt deze BTW klasse niet verwijderen omdat het wordt gebruikt in bestaande %1(s).",module,Magento_Tax
"You cannot delete your own account.","Je kunt niet je eigen account verwijderen.",module,Magento_User
"You cannot delete yourself.","U kunt uzelf niet verwijderen.",module,Magento_Company
"You cannot edit this attribute.","U kunt dit attribuut niet bewerken",module,Magento_Rma
"You cannot remove the hold.","Je kunt de hold niet verwijderen.",module,Magento_Sales
"You cannot return %1.","U kunt %1 niet retourneren.",module,Magento_Rma
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed.",module,Magento_Config
"You cannot send emails to more than %1 recipients at once","U kunt geen e-mails naar meer dan %1 geadresseerden tegelijk verzenden",module,Magento_GiftRegistry
"You cannot send more invitations","U kunt geen uitnodigingen meer verzenden",module,Magento_Invitation
"You cannot specify multiple shipping addresses.","U kunt niet meerdere verzendadressen opgeven.",module,Magento_QuoteGraphQl
"You cannot specify multiple shipping methods.","You cannot specify multiple shipping methods.",module,Magento_QuoteGraphQl
"You cannot unassign a company from the public shared catalog.","U kunt een bedrijf niet uit de openbare gedeelde catalogus verwijderen.",module,Magento_SharedCatalog
"You cannot update the quote status.","Je kan de status van de offerte niet aanpassen.",module,Magento_NegotiableQuote
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","U kunt het aangevraagde attribuut niet bijwerken. Rij-ID: %fieldName = %fieldValue.",module,Magento_NegotiableQuote
"You cannot upload this file.","Dit bestand kan niet worden geüpload.",module,Magento_AdvancedCheckout
"You cannot void a verification transaction.","Je kunt de verificatie transactie niet laten vervallen.",module,Magento_Paypal
"You cleared the comparison list.","Je hebt de vergelijkingslijst gewist.",module,Magento_Catalog
"You closed the quote.","U heeft de offerte gesloten.",module,Magento_NegotiableQuote
"You copied the pages hierarchy to the selected scopes.","U heeft de pagina hiërarchie gekopieerd naar de geselecteerde toepassingsgebied.",module,Magento_VersionsCms
"You created a shipping label.","U heeft het verzendlabel aangemaakt.",module,Magento_Rma
"You created the credit memo.","Je hebt de credit memo aangemaakt.",module,Magento_Sales
"You created the database and media backup.","Je hebt de database en media back-up gemaakt.",module,Magento_Backup
"You created the database backup.","Je hebt de database back-up gemaakt.",module,Magento_Backup
"You created the invoice and shipment.","Je hebt de rekening en verzending aangemaakt.",module,Magento_Sales
"You created the order.","Je hebt de order aangemaakt.",module,Magento_Sales
"You created the shipping label.","Verzendlabel aanmaken.",module,Magento_Shipping
"You created the system backup (excluding media).","Je hebt de systeem back-up gemaakt (exclusief media).",module,Magento_Backup
"You created the system backup.","Je hebt de systeem back-up gemaakt.",module,Magento_Backup
"You created these products for this configuration.","Deze producten zijn aangemaakt voor deze configuratie.",module,Magento_ConfigurableProduct
"You deleted %1 record(s).","U heeft %1 record(s) verwijderd.",module,Magento_Banner
"You deleted a total of %1 record(s).","U verwijderde een totaal van %1 rij(en).",module,Magento_ScheduledImportExport
"You deleted a total of %1 records.","U heeft een totaal van %1 rijen verwijderd.",module,Magento_GiftWrapping
"You deleted the RMA attribute.","U hebt het RMA-kenmerk verwijderd.",module,Magento_Rma
"You deleted the Store View.","Je hebt het winkelzicht verwijderd.",module,Magento_Backend
"You deleted the URL rewrite.","Je hebt de URL-rewrite verwijderd.",module,Magento_UrlRewrite
"You deleted the address.","Je hebt het adres verwijderd.",module,Magento_Customer
"You deleted the alert subscription.","Je hebt de waarschuwingsaanmelding verwijderd.",module,Magento_ProductAlert
"You deleted the billing agreement.","Je hebt de facturatie overeenkomst verwijderd.",module,Magento_Paypal
"You deleted the block.","Je hebt een blok verwijderd.",module,Magento_Cms
"You deleted the category.","Je hebt de categorie verwijderd.",module,Magento_Catalog
"You deleted the condition.","Je hebt de voorwaarde verwijderd.",module,Magento_CheckoutAgreements
"You deleted the custom variable.","Je hebt de custom-variabele verwijderd.",module,Magento_Variable
"You deleted the customer address attribute.","U heeft het klanten adres attribuut verwijderd.",module,Magento_CustomerCustomAttributes
"You deleted the customer attribute.","U heeft het klanten attribuut verwijderd.",module,Magento_CustomerCustomAttributes
"You deleted the customer group.","Je hebt de klantgroep verwijderd.",module,Magento_Customer
"You deleted the customer.","Je hebt de klant verwijderd.",module,Magento_Customer
"You deleted the design change.","Je hebt de designwijziging verwijderd.",module,Magento_Backend
"You deleted the dynamic block.","U heeft het dynamische blok verwijderd.",module,Magento_Banner
"You deleted the email template.","Je hebt het e-mail template verwijderd.",module,Magento_Email
"You deleted the event.","U hebt de gebeurtenis verwijderd.",module,Magento_CatalogEvent
"You deleted the gift registry type.","U heeft verwijderd de verlanglijst register type.",module,Magento_GiftRegistry
"You deleted the gift wrapping.","U hebt de geschenkverpakking verwijderd.",module,Magento_GiftWrapping
"You deleted the history files.","U heeft de geschiedenisbestanden verwijderd.",module,Magento_ScheduledImportExport
"You deleted the pages hierarchy from the selected scopes.","U heeft de pagina hiërarchie van de geselecteerde toepassingsgebieden verwijderd.",module,Magento_VersionsCms
"You deleted the product attribute.","Je hebt de productattributen verwijderd.",module,Magento_Catalog
"You deleted the rate.","U verwijderde de regel.",module,Magento_Reward
"You deleted the rating.","Je hebt de rating verwijderd.",module,Magento_Review
"You deleted the reminder rule.","U hebt de herinneringsregel verwijderd.",module,Magento_Reminder
"You deleted the role.","Je hebt de rol verwijderd.",module,Magento_User
"You deleted the rule.","Je hebt de regel verwijderd.",module,Magento_SalesRule
"You deleted the scheduled export.","U heeft de geplande export verwijderd.",module,Magento_ScheduledImportExport
"You deleted the scheduled import.","U heeft de geplande import verwijderd.",module,Magento_ScheduledImportExport
"You deleted the search.","Je hebt de zoekopdracht verwijderd.",module,Magento_Search
"You deleted the segment.","U heeft het segment verwijderd.",module,Magento_CustomerSegment
"You deleted the selected backup(s).","Je hebt de geselecteerd back-up(s) verwijderd.",module,Magento_Backup
